№;Дата;Оперативный_№_ПС_РП;Оперативный_№_ВЛ_КЛ;Время_откл;Время_вкл;Длительность_простоя_часы;Длительность_простоя_сек;Причина_откл;Недоотпуск_кВт_ч;Кол_во_потр_физ;Кол_во_потр_юрид;Погода_тип;Температура_C;Скорость_ветра_мс;Осадки;Потребители;Вид_ремонта;Балансовая_принадлежность
15149;2025-03-06;2;156;11:11:00;16:15:32;16.2758;58592;Отключение МТЗ (КЗ);97985;127;308;туман;5;1.3;нет;промзона;капитальный;РЭС
15150;2025-11-18;158;199;00:53:00;14:55:24;14.0402;50544;Авария на подстанции;16283;1026;35;снег;-5;5.3;снег;ТЭЦ-2;капитальный;Частный
15151;2025-10-21;152;178;03:11:00;09:03:29;5.8749;21149;Авария на подстанции;14482;2376;111;снегопад;3;4.1;снег;ул. Гагарина;плановый;ГорЭлектроСеть
15152;2025-06-07;105;132;01:51:00;22:24:47;20.5631;74027;Отключение МТЗ (перегруз);176773;2313;380;гроза;31;12.9;дождь;ул. Жансугурова;капитальный;Частный
15153;2025-11-06;5;45;05:42:00;21:01:06;21.0351;75726;Грозовое перенапряжение;143559;783;440;дождь;-2;5.4;дождь;промзона;капитальный;ЖКХ
15154;2025-05-24;158;1;06:49:00;21:39:37;21.6772;78037;Повреждение опоры;74829;1467;119;снег;22;5.4;снег;ул. Гагарина;аварийный;Частный
15155;2025-07-11;13;132;13:45:00;14:47:14;1.0374;3734;Наезд авто на опору;2874;230;126;облачно;34;2.7;нет;ул. Сатпаева;капитальный;РЭС
15156;2025-06-21;2;15;18:33:00;16:23:13;16.4037;59053;Повреждение опоры;65228;352;192;снег;21;2.3;снег;мкр. Запад;плановый;РЭС
15157;2025-01-10;15;25;09:04:00;10:11:54;1.1318;4074;Грозовое перенапряжение;5496;1875;270;дождь;-22;7.6;дождь;Центральный р-н;текущий;Частный
15158;2025-03-12;101;199;18:52:00;17:19:45;17.346;62445;Повреждение опоры;58034;1342;202;снег;-3;5.7;снег;мкр. Запад;текущий;РЭС
15159;2025-01-31;158;89;07:48:00;11:02:11;3.2365;11651;Наезд авто на опору;13927;676;223;облачно;-12;1.3;нет;мкр. Восток;текущий;ГорЭлектроСеть
15160;2025-06-02;7;2;17:34:00;22:34:53;5.0148;18053;Отключение МТЗ (перегруз);44005;498;404;ясно;27;1.7;нет;ул. Жансугурова;текущий;ЖКХ
15161;2025-07-07;3;89;21:53:00;16:53:55;16.9154;60895;Повреждение трансформатора;9533;229;18;ясно;32;1.5;нет;промзона;капитальный;ГорЭлектроСеть
15162;2025-01-29;11;45;13:40:00;14:13:24;14.24;51264;Повреждение кабельной линии;86800;581;271;ясно;-22;2.4;нет;промзона;плановый;Частный
15163;2025-07-21;17;67;18:27:00;19:24:59;0.9666;3479;Отключение МТЗ;249;205;10;гроза;29;11.5;дождь;ул. Жансугурова;капитальный;ГорЭлектроСеть
15164;2025-03-23;11;8;12:36:00;21:53:22;21.9062;78862;Наезд авто на опору;35786;2374;36;облачно;-2;2.0;нет;ул. Жансугурова;капитальный;РЭС
15165;2025-12-18;17;89;16:06:00;18:59:43;19.0121;68443;Грозовое перенапряжение;138494;2164;433;дождь;-7;4.4;дождь;Северный мкр;плановый;ГорЭлектроСеть
15166;2025-05-19;102;45;15:25:00;14:10:50;14.1975;51110;Авария на подстанции;32878;1014;143;ясно;25;0.7;нет;ТЭЦ-2;капитальный;ЖКХ
15167;2025-12-03;101;132;11:38:00;20:24:18;8.7718;31578;Грозовое перенапряжение;77675;1819;398;облачно;-8;1.4;нет;ТЭЦ-2;текущий;РЭС
15168;2025-07-05;15;156;07:39:00;22:34:32;14.9257;53732;Повреждение трансформатора;86432;851;375;снегопад;30;11.2;снег;ул. Толе би;капитальный;ЖКХ
15169;2025-05-17;17;132;22:39:00;11:26:18;11.4552;41238;Отключение МТЗ (перегруз);121977;2353;434;ясно;15;2.1;нет;ул. Пушкина;аварийный;ГорЭлектроСеть
15170;2025-03-23;152;8;11:11:00;15:30:50;4.3308;15590;Обрыв провода;31751;785;308;снег;-3;4.2;снег;Центральный р-н;аварийный;ЖКХ
15171;2025-02-17;15;25;14:53:00;23:47:05;8.9016;32045;Повреждение кабеля;32415;1074;149;дождь;-19;6.0;дождь;мкр. Жастар;аварийный;ЖКХ
15172;2025-07-18;110;1;09:49:00;13:50:11;4.0197;14471;РПВ успешно;25323;2399;401;облачно;33;1.9;нет;мкр. Жастар;текущий;ГорЭлектроСеть
15173;2025-10-11;152;178;22:13:00;22:39:58;22.683;81658;Обрыв провода;49490;630;102;снегопад;10;9.2;снег;мкр. Восток;текущий;Частный
15174;2025-10-18;7;178;09:49:00;18:44:14;8.9206;32114;Грозовое перенапряжение;5034;546;17;дождь;14;6.1;дождь;ул. Гагарина;текущий;ЖКХ
15175;2025-02-09;158;132;20:20:00;19:37:57;19.6494;70737;Отключение МТЗ (КЗ);123836;449;421;дождь;-7;4.7;дождь;ул. Лермонтова;текущий;РЭС
15176;2025-06-21;101;32;01:47:00;17:07:05;15.335;55205;Грозовое перенапряжение;44611;1150;153;гроза;24;6.0;дождь;мкр. Орбита;аварийный;ГорЭлектроСеть
15177;2025-11-28;9;9;12:08:00;17:54:50;17.9306;64550;Отключение МТЗ;110373;392;298;ясно;3;0.4;нет;ул. Пушкина;текущий;ЖКХ
15178;2025-07-31;13;2;20:18:00;07:06:39;7.1276;25659;Грозовое перенапряжение;36351;2029;186;гроза;23;10.5;дождь;ул. Лермонтова;плановый;РЭС
15179;2025-07-08;101;132;23:57:00;02:43:54;2.7484;9894;Повреждение кабеля;6398;1345;109;облачно;25;2.5;нет;ул. Жырау;аварийный;ГорЭлектроСеть
15180;2025-10-28;158;156;09:17:00;22:17:31;13.0088;46831;Повреждение трансформатора;63310;2489;139;пасмурно;3;4.1;нет;Северный мкр;аварийный;ГорЭлектроСеть
15181;2025-10-29;13;156;10:13:00;16:11:45;16.2127;58365;Отключение МТЗ (КЗ);24484;339;77;гроза;3;9.7;дождь;мкр. Запад;аварийный;РЭС
15182;2025-07-28;5;67;03:31:00;11:21:29;7.8416;28229;Отключение МТЗ;48236;984;269;дождь;31;5.9;дождь;мкр. Запад;аварийный;ЖКХ
15183;2025-12-29;158;178;00:12:00;19:17:25;19.0905;68725;Наезд авто на опору;134995;1606;265;ясно;-18;0.4;нет;Северный мкр;текущий;ГорЭлектроСеть
15184;2025-04-20;2;1;12:26:00;14:12:40;1.7779;6400;Авария на подстанции;9964;1363;414;гроза;11;6.8;дождь;Северный мкр;капитальный;ГорЭлектроСеть
15185;2025-02-15;5;1;03:53:00;22:26:50;18.5641;66830;Отключение МТЗ (перегруз);77621;2365;169;облачно;-22;3.9;нет;ул. Сатпаева;аварийный;ЖКХ
15186;2025-08-24;9;25;12:16:00;20:58:12;20.9867;75552;Отключение МТЗ (перегруз);186984;1823;405;ясно;21;2.2;нет;мкр. Восток;плановый;ГорЭлектроСеть
15187;2025-09-17;7;2;07:33:00;19:09:46;19.1795;69046;Повреждение кабельной линии;90158;422;233;гроза;16;10.0;дождь;Северный мкр;текущий;Частный
15188;2025-03-22;3;2;10:18:00;15:12:20;15.2225;54800;Авария на подстанции;74825;541;242;снегопад;0;7.5;снег;ул. Пушкина;капитальный;Частный
15189;2025-08-23;17;15;03:48:00;09:05:47;5.2965;19067;Повреждение кабельной линии;22760;1551;159;дождь;26;5.4;дождь;ул. Сатпаева;плановый;ЖКХ
15190;2025-12-07;7;25;16:30:00;10:39:50;10.6808;38450;Падение дерева;54849;79;320;снегопад;-8;4.4;снег;мкр. Восток;аварийный;РЭС
15191;2025-12-09;110;178;09:16:00;20:44:53;20.765;74753;Повреждение кабеля;25867;1721;35;облачно;-13;1.1;нет;ул. Жырау;плановый;Частный
15192;2025-09-13;110;8;22:56:00;03:47:26;3.8073;13706;Отключение МТЗ;16682;1721;290;гроза;11;13.7;дождь;мкр. Жастар;плановый;РЭС
15193;2025-01-05;152;45;05:40:00;20:03:15;14.3875;51795;Отключение МТЗ;19849;244;76;снегопад;-13;10.1;снег;ул. Сатпаева;плановый;ГорЭлектроСеть
15194;2025-01-23;15;1;04:13:00;23:09:20;23.1723;83420;Повреждение трансформатора;50330;782;117;туман;-11;0.1;нет;Центральный р-н;аварийный;Частный
15195;2025-01-30;5;8;03:36:00;22:12:58;18.6164;67018;Авария на подстанции;48095;713;169;облачно;-14;1.2;нет;ул. Лермонтова;капитальный;Частный
15196;2025-09-11;11;8;09:26:00;16:24:59;16.4331;59159;Авария на подстанции;33039;62;93;ясно;23;0.1;нет;Южный мкр;капитальный;ГорЭлектроСеть
15197;2025-10-19;13;8;09:57:00;10:17:31;0.3422;1231;Повреждение кабельной линии;902;1508;149;туман;10;1.7;нет;ул. Абая;капитальный;ЖКХ
15198;2025-12-24;11;1;11:19:00;22:04:38;10.7606;38738;Повреждение кабельной линии;11025;1202;9;облачно;-15;4.5;нет;ул. Пушкина;капитальный;ЖКХ
15199;2025-07-25;102;45;14:18:00;18:23:30;4.0918;14730;Падение дерева;6552;2223;13;снегопад;21;8.2;снег;Северный мкр;плановый;РЭС
15200;2025-05-11;13;32;19:07:00;06:34:22;6.5895;23722;Повреждение изолятора;37057;649;287;дождь;23;7.6;дождь;Центральный р-н;аварийный;РЭС
15201;2025-06-05;2;156;03:16:00;20:16:27;17.0077;61227;Плановый ремонт;41368;1077;101;дождь;21;3.7;дождь;ул. Сатпаева;плановый;Частный
15202;2025-09-04;13;178;03:33:00;16:30:01;12.9504;46621;Грозовое перенапряжение;81998;1715;238;снегопад;22;6.9;снег;Южный мкр;плановый;ГорЭлектроСеть
15203;2025-02-16;101;32;23:25:00;03:57:15;3.971;14295;Авария на подстанции;11313;560;196;гроза;-20;12.9;дождь;ул. Сатпаева;аварийный;РЭС
15204;2025-10-07;101;89;20:12:00;15:58:48;15.9968;57588;Падение дерева;67948;1425;249;гроза;7;14.6;дождь;Северный мкр;текущий;Частный
15205;2025-09-13;15;9;13:05:00;18:55:09;18.936;68169;Падение дерева;38447;113;106;туман;17;0.5;нет;промзона;плановый;Частный
15206;2025-09-26;11;132;18:44:00;17:16:13;17.2872;62233;Повреждение кабеля;118192;1489;399;облачно;17;2.8;нет;ул. Сатпаева;капитальный;ЖКХ
15207;2025-09-29;3;9;13:16:00;18:41:39;5.4277;19539;Плановый ремонт;50752;890;402;облачно;16;1.2;нет;ул. Абая;капитальный;РЭС
15208;2025-10-30;13;1;13:17:00;22:06:05;8.8181;31745;Повреждение кабеля;39876;422;200;ясно;9;1.7;нет;мкр. Жастар;аварийный;ЖКХ
15209;2025-10-05;17;9;18:01:00;19:32:42;19.5617;70422;Повреждение изолятора;132280;695;437;гроза;11;6.4;дождь;ул. Жансугурова;капитальный;Частный
15210;2025-08-29;158;45;06:41:00;16:12:40;9.5278;34300;РПВ успешно;18114;449;78;облачно;22;1.6;нет;ул. Толе би;капитальный;ГорЭлектроСеть
15211;2025-09-01;11;178;23:04:00;04:53:41;4.9114;17681;Отключение МТЗ (перегруз);5612;1482;35;дождь;23;4.1;дождь;ул. Жырау;текущий;ГорЭлектроСеть
15212;2025-03-22;110;67;11:43:00;15:02:16;3.3212;11956;Обрыв провода;20915;1051;317;снег;-1;3.6;снег;ул. Лермонтова;текущий;ЖКХ
15213;2025-09-19;101;8;04:46:00;07:52:46;3.1128;11206;Повреждение кабеля;29094;1582;382;дождь;17;5.1;дождь;ул. Толе би;плановый;ГорЭлектроСеть
15214;2025-02-06;11;1;09:49:00;14:15:30;14.2751;51390;Грозовое перенапряжение;25916;2015;27;дождь;-7;4.2;дождь;ул. Гагарина;капитальный;РЭС
15215;2025-05-31;158;89;18:55:00;21:03:29;2.1416;7709;Отключение МТЗ (перегруз);8294;248;247;пасмурно;20;2.9;нет;ул. Жырау;капитальный;РЭС
15216;2025-10-01;17;67;13:31:00;19:18:29;19.3249;69569;Падение дерева;135646;828;347;снег;5;2.8;снег;ул. Толе би;плановый;ГорЭлектроСеть
15217;2025-03-29;110;25;12:52:00;18:47:01;18.8005;67681;Повреждение кабельной линии;84399;1048;188;туман;1;1.8;нет;ул. Жансугурова;текущий;РЭС
15218;2025-07-26;152;178;02:11:00;04:20:08;2.1525;7748;Повреждение изолятора;14488;1825;307;дождь;30;8.0;дождь;мкр. Орбита;капитальный;ЖКХ
15219;2025-06-08;3;178;07:21:00;07:50:37;0.4937;1777;Отключение МТЗ (перегруз);2972;1421;226;снегопад;20;7.4;снег;промзона;текущий;ГорЭлектроСеть
15220;2025-08-17;13;2;18:31:00;15:32:18;15.5552;55998;РПВ успешно;77123;937;296;снег;27;3.7;снег;Северный мкр;капитальный;Частный
15221;2025-02-07;3;8;18:31:00;13:08:14;13.154;47354;Грозовое перенапряжение;29911;131;134;снегопад;-7;8.2;снег;ул. Сатпаева;аварийный;ЖКХ
15222;2025-01-19;17;89;13:59:00;15:24:42;15.4284;55542;Наезд авто на опору;121246;583;393;туман;-19;1.4;нет;мкр. Орбита;капитальный;ЖКХ
15223;2025-09-02;17;15;12:30:00;21:57:19;9.4555;34039;Авария на подстанции;42517;17;204;пасмурно;23;2.5;нет;мкр. Запад;плановый;РЭС
15224;2025-07-27;5;45;00:30:00;06:51:07;6.3522;22867;Повреждение трансформатора;34752;79;303;снег;31;4.3;снег;ул. Пушкина;аварийный;РЭС
15225;2025-12-11;3;67;05:05:00;22:37:44;22.6457;81524;Авария на подстанции;92283;1614;151;ясно;-13;1.3;нет;ул. Жырау;текущий;РЭС
15226;2025-08-01;17;178;15:52:00;20:38:21;4.7727;17181;Повреждение трансформатора;31888;885;294;туман;18;0.9;нет;Южный мкр;плановый;РЭС
